S.NO,DATE,TIME,TII/TCA,WLS REC,UNIT,SECTOR,FMN,LOC,DIST,TYPE OF TII/TCA,ADDL DETLS,TGT,NO. OF TRTS,ARMY,JKP,CRPF,BSF,CAPF,CIV,ARMY2,JKP2,CRPF2,BSF2,CAPF2,CIV2,IS SIT,IS SIT DETLS,REMARKS,INJURED_NAME,KILLED_NAME
17,17-Mar-20,20:50 PM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,HABBA KADAL,SRINAGAR ,PETROL BOMB,UI TRTS HURLED PETROL BOMB UPON 28 BN CRPF BUNKER.PETROL BOMB MISSED THE TGT & EXPLODED NEAR A SHOP NO INJURIES REPORTSD.,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
18,21-Mar-20,-,TCA ,NO,34 RR,2 SECT,CIF (V),TURIGAM,SHOPIYAN,SELECTIVE FIRING,"UI TRTS SHOT THREE RDS ON ONE CIV WASEEM AH, S/O MD AMIN, R/O TURIGAM, AGE -28 yrs. GSW IN BOTH LEGS.",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,WASEEM AHMED
19,22-Mar-20,-,TII,NO,50 RR ,1 SECT ,CIF (V),KAKAPORE CHOWK,PULWAMA,GREN LOBBED ,UI TRTS LOBBED A GREN AT PIQUET OF 183 BN CRPF LOC AT KAKAPORE CHOWK. THE GREN DID NOT BLAST. NO INJURIES REPORTED.,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
20,26-Mar-20,12:30 AM,TII,NO,9 RR,2 SECT,CIF (V),WISSU HT,KULGAM,FIRING ,"UI TRT FIRED 08-10 RDS ON CRPF VEH NEAR 
WISSU HTS. CRPF FIRED 20-25 RDS IN RETALIATION. NO INJURIES REPORTED.",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
21,26-Mar-20,19:00 PM,TII,NO,44 RR,12 SECT ,CIF (V),RAJPURA (BELAU),SHOPIYAN,FIRING ,04 X UI TRTS ON TWO MOTOR CYCLES FIRED AT MVCP PARTY OF 183 CRPF BN & JKP. 20-25 RDS WERE FIRED BY TRTS . NO INJURIES REPORTED.,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
22,27-Mar-20,16:00 PM,TCA ,NO,1 RR ,1 SECT ,CIF (V),REDWANI BALA,ANANTNAG,FIRING ,"UI TRTS FIRED UPON MEHRAJ AH BHAT,S/O MD AKBAR BHAT  (MOLVI) R/O REDWANI BALA AT HIS RESIDENCE. INDL WAS DECLARED DEAD AT JANGLAT MANDI HOSP, ANANTAG.",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,
23,01-Apr-20,,TCA ,NO,9 RR,2 SECT,CIF (V),NANDIMARG,KULGAM,FIRING ,"05-06 UI TRTS FIRED UPON TWO CIVS, BOTH R/O NANDIMARG,RESULTING IN THEIR SPOT DEATH. DETAILS OF THE CIVS ARE AS GIVEN BELOW:-
(A) GH HASSAN WAGEY, S/O ABWAHABWAGAY, AGE - 50 YRS, OCCU - FARMER.
(B) SIRAJUDDINKHATANA, S/O ALI MOHDGORSI AGE - 35 YRS, OCCU- PARTY WORKER (BJP)",CIV ,UI,0,0,0,0,0,2,0,0,0,0,0,0,NIL ,NIL,NIL,,"GH HASSAN WAGEY, SIRAJUDDIN KHATANA"
24,02-Apr-20,-,TCA ,NO,19 RR,2 SECT,CIF (V),FATEHPURA,ANANTNAG,FIRING ,"THREE UI TRTS FIRED UPON MD SALIM DAR S/O MD AB DAR, R/O FATEHPURA, AGE-28 YRS, EX SPO RESULTING IN HIS SPOT DEATH",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,MD SALIM DAR
25,07-Apr-20,17:25 PM,TII,NO,3 RR,1 SECT ,CIF (V),BIJBEHARA,ANANTNAG,HURLED GREN ,TWO UI TRTS FIRED & HURLED GREN ON 116 BN CRPF PIQUET PARTY AT BIJBEHARA. GREN DID NIT EXPLODED.,CRPF ,UI,0,0,1,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
26,12-Apr-20,20:30 PM,TCA ,NO,1 RR ,1 SECT ,CIF (V),BUCHRU,KULGAM,FIRING ,"THREE UI TRTS FIRED UPON AB HAMID MANTOO ,EX- SERVICE MAN ( 162 INF BN (TA) (H&H)),RETD ON 31 JAN 19,R/O BANPURA MOH, BUCHRU AT HIS RESIDENCE.INDL WAS EVAC TO PHC,BUCHRU AND LATER ON REFERED TO 92 BH,WHERE HE WAS DECLARED BROUGHT DEAD.",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,AB HAMID MANTOO
27,13-Apr-20,19:45 PM,TII,NO,55 RR ,12 SECT ,CIF (V),MALANGPURA RLY STN,PULWAMA,FIRING ,"UI TRT FIRED ON CRPF PIQUET NEAR MALANGPURAY STN. TRT FIRED FROM MOVING VEH UPON CRPF TPS. CRPF RETALIATED WITH FIRE, HOWEVER TRTS FLED FROM THE SPOT. NO INJURIES REPORTED.",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
28,17-Apr-20,7:30 PM,TII,NO,50 RR ,1 SECT ,CIF (V),NIU ,PULWAMA,FIRING ,"01-02 UI TRTS FIRED ON 183 BN CRPF PIQUET AT NIU.CONST INDER KUMAR OF CRPF SUSTAINED GSW IN LEG, EVAC TO 92 BH.",CRPF ,2 UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL ,NIL,NIL,,
29,18-Apr-20,5:20 PM,TII,NO,22 RR ,5 SECT ,CIF (K),AHADBABA CHOWK,BARAMULLA,FIRING ,"UI TRTS FIRED AT TPS OF 179 BN CRPF AT AHADBABA CHOWK,Sopour. DURING FIRING 03 X CRPF PERS WERE FATAL AND 02 X PERS WERE INJURED.",CRPF ,UI,0,0,3,0,0,0,0,0,2,0,0,0,NIL ,NIL,NIL,,
30,19-Apr-20,9:45 PM,TII,NO,19 RR,2 SECT,CIF (V),HILLER,ANANTNAG,FIRING ,"UI TRTS FIRED UPON HC MANZOOR AH BHAT, JKP, S/O MD AKRAM DAR, R/O HILLER AT HIS RESIDENCE. INDL WAS POSTED AT PS LARNU. INDL DIED ON THE SPOT.",JKP ,UI,0,1,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,MANZOOR AH BHAT
31,23-Apr-20,9:30 PM,TII,NO,34 RR,2 SECT,CIF (V),MINGPURA,SHOPIYAN,ABDUCTED,"UI TRTS ABDUCTRD CT JAVAID JABBAR,S/O AB JABBAR R/O MINGPURA FROM HIS RESIDENCE AT 2130H AND LATER REL AT 2345H AS PER CT JAVAID, HE WAS BLIND FLODED & BEATEN BY THE TRTS.",JKP ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
32,23-Apr-20,19:00 PM,TII,NO,1 RR ,1 SECT ,CIF (V),KHARPURA,SHOPIYAN,ABDUCTED,TWO UI TRTS ABDUCTION GRP/CT SARTAJ AH ITTOO,JKP ,2,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
33,24-Apr-20,18;15 PM,TII,NO,50 RR ,1 SECT ,CIF (V),DUNWARI,PULWAMA,GREN BLAST,"UI TRTS HURLED ONE H/GREN ON SECURITY POST OF D'COY,29 BN CRPF.",CRPF ,UI,0,0,0,0,0,0,0,0,2,0,0,0,NIL ,NIL,NIL,,
34,29-Apr-20,20:30 PM,TCA ,NO,32 RR,7 SECT,CIF (K),KRALGUND,BARAMULLA,FIRING ,"2-3 UI TRTS FIRED AND INJURIED A CIV,ALI MDBEIGH,S/O HABIBULLAH BEIGH, AGE-40 yrs, R/O BEIGH MOH, KRALGUND KUPWARA,AT HIS RESIDENCE. INDL RECD GSW ON HIS IT HAND & STOMACH. INDL EVAC TO BARAMULLA. CONDITION STABLE.",CIV ,3,0,0,0,0,0,0,0,0,0,0,0,1,NIL ,NIL,NIL,ALI MD BEIGH,
35,29-Apr-20,20:30 PM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,NOWHATTA,SRINAGAR ,GREN BLAST,"UI TRTS LOBBED A GREN UPON CHECK POST OF 55 SSB BN AT NOWHATTA CHOWK, SRINAGAR, WHICH RESULTEDD IN INJURIES TO 04 X SSB PERS & ONE CT OF JKP ",SSB,UI,0,0,0,0,0,0,0,1,0,0,4,0,NIL ,NIL,NIL,,
36,02-May-20,18:00 PM,TII,NO,55 RR ,12 SECT ,CIF (V),TAHAB CHOWK,PULWAMA,GREN LOBBED ,UI TRTS LOBBED STUN GREN ON CRPF PIQUET AT TAHAB CHOWK.NO INJURIES REPORTED,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
37,03-May-20,16:00 PM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,MAIN RD NOWSHERA,SRINAGAR ,GREN LOBBED ,"UI TRTS LOBBED  GREN ON CRPF PIQUET.HOWEVER,THE GREN DIDN'T EXPLODED NO INJURIES REPORTED",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
38,04-May-20,17:40 PM,TII,NO,32 RR,7 SECT,CIF (K),WANGAM,BARAMULLA,FIRING ,UNIDENTIFIED INDLS FIRED ON 92 BN CRPF COLMN DPLY ON NAKA.FATAL INJURY TO THREE X CRPF SOLDIERS. ,CRPF ,UI,0,0,3,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,
39,04-May-20,18:20 PM,TII,NO,50 RR ,1 SECT ,CIF (V),WOGUR ,PULWAMA,HURLED GREN ,"UI TRT HURLED A GREN ON CISF CAMP,WOGUR. CT AKASH KUMAR DUBEY",CISF,UI,0,0,0,0,0,0,0,0,0,0,1,0,NIL ,NIL,NIL,,
40,05-May-20,12:05 AM,TII,NO,53 RR,12 SECT ,CIF (V),PAKHARPURA,SHOPIYAN,LOBBED GREN,UI TRTS LOBBED A GREN ON PICKET OF 181 BN CRPF.,CRPF ,UI,0,0,0,0,0,0,0,1,1,0,0,4,NIL ,NIL,NIL,,
41,16-May-20,17:20 PM,TII,NO,1 RR ,1 SECT ,CIF (V),PRISAL ,ANANTNAG,FIRING ,UI TRTS FIRED  UPON HC MD AMIN OF JKP AT PRISAL MARKET. INDL WAS EVACUATED TO THE HOSP WHERE HE WAS DECLARED BROUGHT DEAD.,JKP ,UI,0,1,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
42,16-May-20,19:00 PM,TII,NO,50 RR ,1 SECT ,CIF (V),NIU ,PULWAMA,HURLED GREN ,01-02 UI TRTS HURLED A GREN AT CRPF TPS. THE GREN  DID'T EXPLODED & LATER DESTROYED BY BDS. NO INJURIES REPORTED.,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
43,20-May-20,16:30 PM,TII,NO,5 RR,3 SECT,CIF (V),PANDACHH,GANDERBAL,FIRING ,UI TRTS FIRED AT PARTY OF 37 BN BSF AT PANDACHH IN SRINAGAR OUT SKIRTS.,BSF,UI,0,0,0,2,0,0,0,0,0,3,0,0,NIL ,NIL,NIL,,
44,21-May-20,14:30 PM,TII,NO,55 RR ,12 SECT ,CIF (V),PARCHHU,PULWAMA,FIRING ,UI TRTS FIRED AT PARTY OF IRP. AT PANDACHH IN SRINAGAR OUT SKIRTS.,JKP,UI,0,0,0,0,1,0,0,0,0,0,2,0,NIL ,NIL,NIL,,
45,22-May-20,20:40 PM,TII,NO,50 RR ,1 SECT ,CIF (V),KAKAPORE ,PULWAMA,HURLED GREN ,UI TRTS HURLED A GREN AT JT BUNKER OF CRPF & JKP.NO INJURIES REPORTED.,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
46,31-May-20,21:00 PM,TII,NO,44 RR,12 SECT ,CIF (V),THARAN ORCHARDS,SHOPIYAN,ABDUCTED,"THREE UI TRTS ABDUCTED CT SHAKEEL AH BHAT, JKP,PULWAMA & TOOK HIM TO LARI. INDL WAS THREATENED AND BEATEN UP SHAKEEL AH BHAT ESCAPED FROM THE LOC AND REACHED MVCP DPLY AT SUGU HANDAMA OF 44 RR.",JKP ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
47,04-Jun-20,14:50 PM,TII,NO,1 RR ,1 SECT ,CIF (V),KANJIKUL,KULGAM,DELIBRATE FIRE,"FOUR UI TRTS IN A BLACK HYUNDAI SANTRO CAR FIRED AT JKP VEH AND ESCAPED FROM THE SITE.JKP VEH FIRED BACK AND CHASED THE TRT CAR.ONE CIV NAMED IMTIYAZ AH MALIK,HELTH WORKER, INJ AND BROUGHT TO SMHS, SRINAGAR.",JKP ,4,0,0,0,0,0,0,0,0,0,0,0,1,NIL ,NIL,NIL,,
48,06-Jun-20,8:15 AM,TII,NO,42 RR,1 SECT ,CIF (V),KANZINAG,PULWAMA,BLASTING CRUDE EXPLOSIVE,LOW INTNSITY BLAST CARRIED OUT BY TRTS BY BLASTING CRUDE EXPLOSIVE DEVICE AT PERMT NAKA LOC OF 130 Bn CRPF.,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
49,06-Jun-20,21:00 PM,TCA ,NO,22 RR ,5 SECT ,CIF (K),"YIDIPUR,BUMAI",BARAMULLA,TRTS SHOT HIM ON CHEST.,"UI TRTS FIRED ON ONE CIV NAMED ISHFAQ AH NAZAR @ DANISH,S/O MANZOOR AH NAJAR,R/O YIDIPUR,BUMAI,P/S SOPORE AT HIS RESIDENCE.TRTS FORCEFULLY ENTERED INTO HIS HOUSE AND SHOT HIM ON CHEST.INDLEVAC TO SDH,SOPORE IN A CRITICAL CONDITION WHER HE SUCCUMBED TO HIS INJURIES.",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,ISHFAQ AH NAZAR
50,08-Jun-20,17:45 PM,TCA ,NO,19 RR,2 SECT,CIF (V),LUKABHAWAN,ANANTNAG,FIRING ,"AJAY PANDITA (BHARTI), SARPANCH LUKABHAWAN WAS SHOT DEAD BY UI TRTS NEAR HIS RESIDENCE.",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,AJAY PANDITA (BHARTI)
51,08-Jun-20,21:30 PM,TII,NO,42 RR,1 SECT ,CIF (V),PS RAJPURA,PULWAMA,HURLED GREN ,"UI TRTS HURLED A GREN ON PS RAJPURA,PULWAMA. THE GREN MISSED THE TGT & EXPLODED ON THE  WALL OF PS.NO INJURIES REPORTED.",JKP ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,TARIQ AH PALA
52,09-Jun-20,17:00 PM,TCA ,NO,44 RR,2 SECT,CIF (V),PINZUR (PINZOORA),SHOPIYAN,ABDUCTED,"UI TRTS ABDUCTRD ONE CIV, TARIQ AH PALA ,R/O PINZOORA, SHUPIYAN. DEAD BODY OF THE INDL FOUND IN ORCHARD WITH TOURTURE MARKS. ",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,, 
53,22-Jun-20,20:15 PM,TII,NO,42 RR,1 SECT ,CIF (V),BATAGUND,PULWAMA,HURLED GREN ,UI TRTS HURLED GREN ON 180 Bn CRPF CAMP AT BATAGUND.NO INJURIES REPORTED. ,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
54,26-Jun-20,12:10 PM,TII ,NO ,3 RR,1 SECT ,CIF (V),ZIRPARA ,ANANTNAG,FIRING ,"(I) UI TRTS FIRED AT 90 BN CRPF PICQUET. 01 X CRPF PERS & 01 X CIV FATAL. DETAILS ARE AS GIVEN BELOW :-
(AA) HC/GD SHYAM KUMAR DEY OF 90 BN CRPF.
(AB) CIV NIHAN BHAT, S/O MD YASEEN BHAT, R/O YARIPURA, KULGAM, AGE - 06 YRS.
",CRPF ,UI,0,0,1,0,0,1,0,0,0,0,0,0,NIL ,NIL ,NIL,,
55,26-Jun-20,9:30 PM,TII ,NO ,1 RR ,1 SECT ,CIF (V),PS WANPOH ,ANANTNAG,GREN LOBBED ,UI TRTS LOBBED GREN AT PS WANPOH.              NO INJURIES REPORTED.,JKP ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
56,29-Jun-20,7:45 PM,TII ,NO,50 RR ,1 SECT ,CIF (V),CHHATTARGAM,PULWAMA,GREN LOBBED ,UI TRTS LOBBED GREN OUTSIDE POST NO-2 OF CHHATTARGAM COB. NO INJURIES REPORTED.,ARMY ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
57,30-Jun-20,3:45 PM,TII ,NO,55 RR ,12 SECT ,CIF (V) ,WASHABUG ,PULWAMA,GREN LOBBED ,UI TRTS LOBBED GREN ON JT NAKA OF 182 CRPF BN & JKP AT CROSSING NEAR POST OFFICE. GREN DID NOT EXPLODE AND LATER DESTR BY BD TEAM OF JKP.,CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
58,01-Jul-20,7:55 AM,TII ,WLS ,22 RR ,5 SECT ,CIF (K),MODEL TOWN A NEAR MRF CHOWK ,BARAMULLA,FIRING ,"(A) UI TRTS FIRED AT PIQUET OF 179 BN CRPF.
(B) CRPF & CIV CAS. 01 X CRPF & 01 X CIV FATAL. 04 X CRPF NON-FATAL. 
(C)  DETAILS.  SEARCH OP LAUNCHED WEF 0840 HR. DURING SEARCH OF THE AREA AT AROUND 0855 HR BLOOD TRAILS OF ONE INJURED TRT WERE TRACED. SEARCH OF AREA IN PROG.              
(D) FWG WLS REC DURING SEARCH OF THE AREA:-
 (I) AK MAG            - 02 
 (II) 7.62MM LIVE RDS    - 30
 (III) 7.62MM FIRED CASES  - 55
",CRPF ,UI,0,0,1,0,0,1,0,0,3,0,0,0,NIL ,NIL,,,
59,01-Jul-20,10:00 PM,TII ,NO ,31 SA ,31 SA ,HQ 15 CORPS ,CHHANPURA BR ,SRINAGAR ,GREN LOBBED ,UI TRTS LOBBED A GREN ON 14 BN SSB ‘E’ COY LOC AT CHHANPUR BR. GREN EXPLODED OUTSIDE THE LOC. NO INJURIES REPORTED.,SSB,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,,,
60,05-Jul-20,7:35 AM,TII ,01 X IED REC ,55 RR ,12 SECT ,CIF (V),GANGU/CIRCULAR RD ,PULWAMA,IED BLAST & IED REC,"(A) AN IED BLAST OCCURRED NEAR PULWAMA CIRCULAR RD - PINGLANA RD Y JN. CONST PARDEEP DAS OF 182 BN CRPF SUSTAINED MINOR INJURY. 
(B) TEAM OF 55 RR, BD SQUAD OF CIF (V), CRPF & JKP MOV TO BLAST SITE.
(C) SEC IED WAS LOC IN VICINITY OF THE 1ST IED AND DESTR IN SITU BY BD SQUAD EX CIF (V) & JKP BD SQUAD
",CRPF ,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL ,NIL,,,
61,06-Jul-20,9:00 PM,TII ,NO ,52 RR ,10 SECT ,CIF (K),DELINA POLICE POST ,BARAMULLA,GREN LOBBED ,"UI TRTS LOBBED A GREN ON POLICE OUTPOST, DELINA. GREN EXPLODED ON THE RD OUTSIDE THE POST. NO INJURIES OR LOSS TO LIFE/ PROPERTY.",JKP ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL ,,,
